@attribute commentID numeric
@attribute project numeric
@attribute diffSize numeric
@attribute insertStatement numeric
@attribute insertStatementWeight numeric
@attribute deleteStatement numeric
@attribute deleteStatementWeight numeric
@attribute updateStatement numeric
@attribute updateStatementWeight numeric
@attribute parentChange numeric
@attribute parentChangeWeight numeric
@attribute orderingChange numeric
@attribute orderingChangeWeight numeric
@attribute conditionChange numeric
@attribute conditionChangeWeight numeric
@attribute insertAlternative numeric
@attribute insertAlternativeWeight numeric
@attribute deleteAlternative numeric
@attribute deleteAlternativeWeight numeric
@attribute newAllLine numeric
@attribute oldAllLine numeric
@attribute subLine numeric
@attribute changeLine numeric
@attribute changeLineWeight numeric
@attribute firstDiffLocation numeric
@attribute refactor1 numeric
@attribute refactor2 numeric
@attribute tokenChange numeric
@attribute IfStatement_insert numeric
@attribute CatchClause_insert numeric
@attribute TryStatement_insert numeric
@attribute MethodInvocation_insert numeric
@attribute VariableDeclarationStatement_insert numeric
@attribute log_insert numeric
@attribute debug_insert numeric
@attribute IfStatement_update numeric
@attribute MethodInvocation_update numeric
@attribute VariableDeclarationStatement_update numeric
@attribute log_update numeric
@attribute debug_update numeric
@attribute IfStatement_delete numeric
@attribute MethodInvocation_delete numeric
@attribute VariableDeclarationStatement_delete numeric
@attribute log_delete numeric
@attribute debug_delete numeric
@attribute wordSize numeric
@attribute todos numeric
@attribute codeSimilarity numeric
@attribute oldCodeOldCommentSimilarity numeric
@attribute newCodeOldCommentSimilarity numeric
@attribute subSimilarity numeric
@attribute codeAddWords numeric
@attribute codeDeleteWords numeric
@attribute commentLine numeric
@attribute mcommentLine numeric
@attribute ccommentLine numeric
@attribute commentWeight numeric
@attribute mcommentWeight numeric
@attribute ccommentWeight numeric
@attribute refactor_1 numeric
@attribute refactor_2 numeric
@attribute refactor_3 numeric
@attribute refactor_5 numeric
@attribute refactor_6 numeric
@attribute refactor_7 numeric
@attribute refactor_8 numeric
@attribute refactor_9 numeric
@attribute old_diff_comment_sim numeric
@attribute new_diff_comment_sim numeric
@attribute sub_diff_comment_sim numeric
@attribute diff_sim numeric
@attribute old_code_comment_sim numeric
@attribute new_code_comment_sim numeric
@attribute sub_code_comment_sim numeric
@attribute class {0,1}
@data
63,1,3,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,11,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,10,5,5,0,1,1,1,1,7,3,2,2,0,0,0,0,0,0,0,0,5,5,0,9,5,5,0,0
69,1,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,2,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,9,5,5,0,5,1,2,4,8,2,2,1,0,0,0,0,0,0,0,0,3,3,0,6,6,6,4,0
81,1,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,5,5,5,5,1,3,4,8,6,3,2,0,0,0,0,0,0,0,0,4,4,0,6,4,4,0,0
84,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,10,9,9,0,0,1,1,2,8,2,2,2,0,0,0,0,0,0,0,0,5,6,0,9,5,6,-3,0
87,1,3,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,11,1,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,5,0,10,9,9,8,1,0,1,2,8,3,1,1,1,0,0,0,0,0,0,0,6,5,0,9,6,5,2,0
93,1,2,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,6,5,1,2,4,2,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,6,0,9,7,7,0,5,0,1,1,7,2,1,1,0,0,0,0,0,0,0,0,4,3,1,7,4,3,8,0
96,1,6,3,4,3,4,2,3,1,2,0,0,0,0,0,0,0,0,7,7,0,7,0,1,1,0,0,1,1,1,6,2,0,0,0,6,2,0,0,1,2,0,0,0,2,0,9,5,6,6,6,0,1,1,8,1,1,1,0,1,0,0,0,0,0,0,3,5,-1,7,5,5,3,0
99,1,6,0,0,4,6,1,2,0,0,0,0,0,0,0,0,1,2,2,6,6,7,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4,1,0,0,5,0,7,8,8,1,2,4,1,1,7,1,1,1,0,0,0,0,0,0,0,0,3,5,-1,5,3,5,-12,0
102,1,3,0,0,0,0,2,5,0,0,0,0,1,3,0,0,0,0,7,7,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,6,0,10,9,9,3,2,1,2,2,8,2,1,1,0,0,0,0,0,0,0,0,5,5,0,7,5,5,-3,0
105,1,4,0,0,0,0,3,6,0,0,0,0,1,2,0,0,0,0,6,6,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,9,7,7,0,3,0,1,1,7,2,1,1,0,0,1,0,0,1,0,0,6,4,1,8,6,4,19,0
